product_name,brand,manufacturer,fulfilled_by,category,subcategory,product_code,pack_quantity,pack_uom,pack_size,mrp,dlp_price_inclusive_tax,specifications,application,description,source_product_url,source_image_url
"4ST EXTRA SL","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","4ST EXTRA SL","","55","L","55 L","","","Viscosity Grade: SAE 10W-30 / 20W-40 | Specification: API SL, JASO MA2","","PENSOL 4ST EXTRA SL is a high quality 4 stroke engine oil specially developed for standard motorbikes. Its high oil performance reliability helps to protect and clean your engine and prolong its life cycle with least maintenance.","https://pensol.com/4ST_EXTRA_SL.html","https://pensol.com/img/4st_extra_sl.jpg"
"4ST EXTRA SL","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","4ST EXTRA SL","","210","L","210 L","","","Viscosity Grade: SAE 10W-30 / 20W-40 | Specification: API SL, JASO MA2","","PENSOL 4ST EXTRA SL is a high quality 4 stroke engine oil specially developed for standard motorbikes. Its high oil performance reliability helps to protect and clean your engine and prolong its life cycle with least maintenance.","https://pensol.com/4ST_EXTRA_SL.html","https://pensol.com/img/4st_extra_sl.jpg"
"4ST EXTRA","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","4ST EXTRA","","900","ml","900 ml","","","Viscosity Grade: SAE 20W-40 | Specification: API SJ, JASO MA2","","PENSOL 4ST EXTRA is a specially formulated 4 stroke engine oil ideal for underbones and mopeds with small, hot-running, hard working engines. It offers high oil performance reliability for enhanced engine life in frequent operating condition.","https://pensol.com/4ST_EXTRA.html","https://pensol.com/img/4st_extra.jpg"
"4ST EXTRA","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","4ST EXTRA","","1","L","1 L","","","Viscosity Grade: SAE 20W-40 | Specification: API SJ, JASO MA2","","PENSOL 4ST EXTRA is a specially formulated 4 stroke engine oil ideal for underbones and mopeds with small, hot-running, hard working engines. It offers high oil performance reliability for enhanced engine life in frequent operating condition.","https://pensol.com/4ST_EXTRA.html","https://pensol.com/img/4st_extra.jpg"
"4ST EXTRA","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","4ST EXTRA","","55","L","55 L","","","Viscosity Grade: SAE 20W-40 | Specification: API SJ, JASO MA2","","PENSOL 4ST EXTRA is a specially formulated 4 stroke engine oil ideal for underbones and mopeds with small, hot-running, hard working engines. It offers high oil performance reliability for enhanced engine life in frequent operating condition.","https://pensol.com/4ST_EXTRA.html","https://pensol.com/img/4st_extra.jpg"
"4ST EXTRA","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","4ST EXTRA","","210","L","210 L","","","Viscosity Grade: SAE 20W-40 | Specification: API SJ, JASO MA2","","PENSOL 4ST EXTRA is a specially formulated 4 stroke engine oil ideal for underbones and mopeds with small, hot-running, hard working engines. It offers high oil performance reliability for enhanced engine life in frequent operating condition.","https://pensol.com/4ST_EXTRA.html","https://pensol.com/img/4st_extra.jpg"
"SCOOT PRO","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","SCOOT PRO","","800","ml","800 ml","","","Viscosity Grade: SAE 10W-30 | Specification: API SL, JASO MB","","PENSOL SCOOT PRO is a synthetic technology 4 stroke engine oil specially designed for modern generation gearless scooters using CVT transmission. The friction modifier used in this oil reduces engine friction leading to improved fuel economy, smoother ride and protects the engine for its longer life.","https://pensol.com/SCOOT_PRO.html","https://pensol.com/img/scoot_pro.jpg"
"SCOOT PRO","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","SCOOT PRO","","55","L","55 L","","","Viscosity Grade: SAE 10W-30 | Specification: API SL, JASO MB","","PENSOL SCOOT PRO is a synthetic technology 4 stroke engine oil specially designed for modern generation gearless scooters using CVT transmission. The friction modifier used in this oil reduces engine friction leading to improved fuel economy, smoother ride and protects the engine for its longer life.","https://pensol.com/SCOOT_PRO.html","https://pensol.com/img/scoot_pro.jpg"
"SCOOT PRO","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","SCOOT PRO","","210","L","210 L","","","Viscosity Grade: SAE 10W-30 | Specification: API SL, JASO MB","","PENSOL SCOOT PRO is a synthetic technology 4 stroke engine oil specially designed for modern generation gearless scooters using CVT transmission. The friction modifier used in this oil reduces engine friction leading to improved fuel economy, smoother ride and protects the engine for its longer life.","https://pensol.com/SCOOT_PRO.html","https://pensol.com/img/scoot_pro.jpg"
"SM 2T","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","SM 2T","","500","ml","500 ml","","","Specification: API TC, JASO FC","","PENSOL SM 2T is a high quality engine oil designed for 2 stroke motorcycles, scooters and auto-rickshaws. It is also suitable for CNG/LPG fuelled 2-stroke engines of 3 wheelers.","https://pensol.com/SM_2T.html","https://pensol.com/img/sm_2t.jpg"
"SM 2T","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","SM 2T","","1","L","1 L","","","Specification: API TC, JASO FC","","PENSOL SM 2T is a high quality engine oil designed for 2 stroke motorcycles, scooters and auto-rickshaws. It is also suitable for CNG/LPG fuelled 2-stroke engines of 3 wheelers.","https://pensol.com/SM_2T.html","https://pensol.com/img/sm_2t.jpg"
"SM 2T","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","SM 2T","","55","L","55 L","","","Specification: API TC, JASO FC","","PENSOL SM 2T is a high quality engine oil designed for 2 stroke motorcycles, scooters and auto-rickshaws. It is also suitable for CNG/LPG fuelled 2-stroke engines of 3 wheelers.","https://pensol.com/SM_2T.html","https://pensol.com/img/sm_2t.jpg"
"SM 2T","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","SM 2T","","210","L","210 L","","","Specification: API TC, JASO FC","","PENSOL SM 2T is a high quality engine oil designed for 2 stroke motorcycles, scooters and auto-rickshaws. It is also suitable for CNG/LPG fuelled 2-stroke engines of 3 wheelers.","https://pensol.com/SM_2T.html","https://pensol.com/img/sm_2t.jpg"
"JASO FC 2T","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","JASO FC 2T","","40","ml","40 ml (Pouch)","","","Specification: API TC","","PENSOL JASO FC 2T is a low smoke Eco-friendly oil for 2 stroke engines of motorcycles, scooters, mopeds and auto rickshaws. Use dosage ratio as recommended by the vehicle manufacturer.","https://pensol.com/JASO_FC_2T.html","https://pensol.com/img/jaso_fc_2t.jpg"
"JASO FC 2T","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","JASO FC 2T","","55","L","55 L","","","Specification: API TC","","PENSOL JASO FC 2T is a low smoke Eco-friendly oil for 2 stroke engines of motorcycles, scooters, mopeds and auto rickshaws. Use dosage ratio as recommended by the vehicle manufacturer.","https://pensol.com/JASO_FC_2T.html","https://pensol.com/img/jaso_fc_2t.jpg"
"JASO FC 2T","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","JASO FC 2T","","210","L","210 L","","","Specification: API TC","","PENSOL JASO FC 2T is a low smoke Eco-friendly oil for 2 stroke engines of motorcycles, scooters, mopeds and auto rickshaws. Use dosage ratio as recommended by the vehicle manufacturer.","https://pensol.com/JASO_FC_2T.html","https://pensol.com/img/jaso_fc_2t.jpg"
"FRONT FORK OIL","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","FRONT FORK OIL","","175","ml","175 ml","","","","","PENSOL FRONT FORK OIL is a specially formulated for use in hydraulic front forks of motorcycles and other shock absorbing and dampening mechanisms.","https://pensol.com/FRONT_FORK_OIL.html","https://pensol.com/img/front_fork_oil.jpg"
"FRONT FORK OIL","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","FRONT FORK OIL","","350","ml","350 ml","","","","","PENSOL FRONT FORK OIL is a specially formulated for use in hydraulic front forks of motorcycles and other shock absorbing and dampening mechanisms.","https://pensol.com/FRONT_FORK_OIL.html","https://pensol.com/img/front_fork_oil.jpg"
"FRONT FORK OIL","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","FRONT FORK OIL","","55","L","55 L","","","","","PENSOL FRONT FORK OIL is a specially formulated for use in hydraulic front forks of motorcycles and other shock absorbing and dampening mechanisms.","https://pensol.com/FRONT_FORK_OIL.html","https://pensol.com/img/front_fork_oil.jpg"
"FRONT FORK OIL","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","FRONT FORK OIL","","210","L","210 L","","","","","PENSOL FRONT FORK OIL is a specially formulated for use in hydraulic front forks of motorcycles and other shock absorbing and dampening mechanisms.","https://pensol.com/FRONT_FORK_OIL.html","https://pensol.com/img/front_fork_oil.jpg"
"PXT PRIDE","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Passenger Car Engine Oils","PXT PRIDE","","3.5","L","3.5 L","","","Viscosity Grade: SAE 5W-40 | Specification: API SN/CF, ACEA - A3/B4","","PENSOL PXT PRIDE is a synthetic technology engine oil for modern generation turbocharged / supercharged petrol and diesel passenger cars. This oil is a perfect blend of synthetic base oils and high-tech additive system, and provides exceptional protection to the engine having DPF, EGR or any catalyst ensuring reliable lubrication even in the most demanding conditions. It meets API SN/CF, ACEA A3/B4, BMW-LL-01 and MB 229.3 performance standards.","https://pensol.com/PXT_PRIDE.html","https://pensol.com/img/pxt_pride.jpg"
"PXT PRIDE","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Passenger Car Engine Oils","PXT PRIDE","","4","L","4 L","","","Viscosity Grade: SAE 5W-40 | Specification: API SN/CF, ACEA - A3/B4","","PENSOL PXT PRIDE is a synthetic technology engine oil for modern generation turbocharged / supercharged petrol and diesel passenger cars. This oil is a perfect blend of synthetic base oils and high-tech additive system, and provides exceptional protection to the engine having DPF, EGR or any catalyst ensuring reliable lubrication even in the most demanding conditions. It meets API SN/CF, ACEA A3/B4, BMW-LL-01 and MB 229.3 performance standards.","https://pensol.com/PXT_PRIDE.html","https://pensol.com/img/pxt_pride.jpg"
"PXT PRIDE","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Passenger Car Engine Oils","PXT PRIDE","","55","L","55 L","","","Viscosity Grade: SAE 5W-40 | Specification: API SN/CF, ACEA - A3/B4","","PENSOL PXT PRIDE is a synthetic technology engine oil for modern generation turbocharged / supercharged petrol and diesel passenger cars. This oil is a perfect blend of synthetic base oils and high-tech additive system, and provides exceptional protection to the engine having DPF, EGR or any catalyst ensuring reliable lubrication even in the most demanding conditions. It meets API SN/CF, ACEA A3/B4, BMW-LL-01 and MB 229.3 performance standards.","https://pensol.com/PXT_PRIDE.html","https://pensol.com/img/pxt_pride.jpg"
"PXT PRIDE","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Passenger Car Engine Oils","PXT PRIDE","","210","L","210 L","","","Viscosity Grade: SAE 5W-40 | Specification: API SN/CF, ACEA - A3/B4","","PENSOL PXT PRIDE is a synthetic technology engine oil for modern generation turbocharged / supercharged petrol and diesel passenger cars. This oil is a perfect blend of synthetic base oils and high-tech additive system, and provides exceptional protection to the engine having DPF, EGR or any catalyst ensuring reliable lubrication even in the most demanding conditions. It meets API SN/CF, ACEA A3/B4, BMW-LL-01 and MB 229.3 performance standards.","https://pensol.com/PXT_PRIDE.html","https://pensol.com/img/pxt_pride.jpg"
"PXT ULTRA","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Passenger Car Engine Oils","PXT ULTRA","","3","L","3 L","","","Viscosity Grade: SAE 5W-30 | Specification: API SN/CF, ACEA A5/B5","","PENSOL PXT ULTRA is a synthetic technology engine oil for modern generation petrol and diesel passenger cars. This oil is a perfect blend of synthetic base oils and high-tech additive system, and ensures optimum power, optimum performance, protection, durability, fuel efficiency and lower emission devices. It meets API SN, ILSAC G-5, GM dexos 1 performance standards.","https://pensol.com/PXT_ULTRA.html","https://pensol.com/img/pxt_ultra.jpg"
"PXT ULTRA","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Passenger Car Engine Oils","PXT ULTRA","","3.5","L","3.5 L","","","Viscosity Grade: SAE 5W-30 | Specification: API SN/CF, ACEA A5/B5","","PENSOL PXT ULTRA is a synthetic technology engine oil for modern generation petrol and diesel passenger cars. This oil is a perfect blend of synthetic base oils and high-tech additive system, and ensures optimum power, optimum performance, protection, durability, fuel efficiency and lower emission devices. It meets API SN, ILSAC G-5, GM dexos 1 performance standards.","https://pensol.com/PXT_ULTRA.html","https://pensol.com/img/pxt_ultra.jpg"
"PXT ULTRA","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Passenger Car Engine Oils","PXT ULTRA","","55","L","55 L","","","Viscosity Grade: SAE 5W-30 | Specification: API SN/CF, ACEA A5/B5","","PENSOL PXT ULTRA is a synthetic technology engine oil for modern generation petrol and diesel passenger cars. This oil is a perfect blend of synthetic base oils and high-tech additive system, and ensures optimum power, optimum performance, protection, durability, fuel efficiency and lower emission devices. It meets API SN, ILSAC G-5, GM dexos 1 performance standards.","https://pensol.com/PXT_ULTRA.html","https://pensol.com/img/pxt_ultra.jpg"
"PXT ULTRA","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Passenger Car Engine Oils","PXT ULTRA","","210","L","210 L","","","Viscosity Grade: SAE 5W-30 | Specification: API SN/CF, ACEA A5/B5","","PENSOL PXT ULTRA is a synthetic technology engine oil for modern generation petrol and diesel passenger cars. This oil is a perfect blend of synthetic base oils and high-tech additive system, and ensures optimum power, optimum performance, protection, durability, fuel efficiency and lower emission devices. It meets API SN, ILSAC G-5, GM dexos 1 performance standards.","https://pensol.com/PXT_ULTRA.html","https://pensol.com/img/pxt_ultra.jpg"
"PXT DIESEL","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Passenger Car Engine Oils","PXT DIESEL","","7","L","7 L","","","Viscosity Grade: SAE 15W-40 | Specification: API CI-4","","PENSOL PXT DIESEL is a synthetic technology engine oil specially developed for high torque diesel engines of SUVs, MUVs and crossovers. This high quality multi-grade diesel engine oil offers excellent viscosity control, enabling longer engine life, exceptional control on engine deposit formation, and enhanced wear protection.","https://pensol.com/PXT_DIESEL.html","https://pensol.com/img/pxt_diesel2.jpg"
"PXT DIESEL","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Passenger Car Engine Oils","PXT DIESEL","","55","L","55 L","","","Viscosity Grade: SAE 15W-40 | Specification: API CI-4","","PENSOL PXT DIESEL is a synthetic technology engine oil specially developed for high torque diesel engines of SUVs, MUVs and crossovers. This high quality multi-grade diesel engine oil offers excellent viscosity control, enabling longer engine life, exceptional control on engine deposit formation, and enhanced wear protection.","https://pensol.com/PXT_DIESEL.html","https://pensol.com/img/pxt_diesel2.jpg"
"PXT DIESEL","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Passenger Car Engine Oils","PXT DIESEL","","210","L","210 L","","","Viscosity Grade: SAE 15W-40 | Specification: API CI-4","","PENSOL PXT DIESEL is a synthetic technology engine oil specially developed for high torque diesel engines of SUVs, MUVs and crossovers. This high quality multi-grade diesel engine oil offers excellent viscosity control, enabling longer engine life, exceptional control on engine deposit formation, and enhanced wear protection.","https://pensol.com/PXT_DIESEL.html","https://pensol.com/img/pxt_diesel2.jpg"
"PXT","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Passenger Car Engine Oils","PXT","","500","ml","500 ml","","","Viscosity Grade: SAE 20W-50 | Specification: API SL/CF","","PENSOL PXT is a multigrade passenger car engine oil developed for cars & UVs powered by petrol, diesel, CNG or LPG engines. This oil offers high temperature protection that minimises sludge build-up thus reducing component wear.","https://pensol.com/PXT.html","https://pensol.com/img/pxt.jpg"
"PXT","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Passenger Car Engine Oils","PXT","","1","L","1 L","","","Viscosity Grade: SAE 20W-50 | Specification: API SL/CF","","PENSOL PXT is a multigrade passenger car engine oil developed for cars & UVs powered by petrol, diesel, CNG or LPG engines. This oil offers high temperature protection that minimises sludge build-up thus reducing component wear.","https://pensol.com/PXT.html","https://pensol.com/img/pxt.jpg"
"PXT","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Passenger Car Engine Oils","PXT","","3","L","3 L","","","Viscosity Grade: SAE 20W-50 | Specification: API SL/CF","","PENSOL PXT is a multigrade passenger car engine oil developed for cars & UVs powered by petrol, diesel, CNG or LPG engines. This oil offers high temperature protection that minimises sludge build-up thus reducing component wear.","https://pensol.com/PXT.html","https://pensol.com/img/pxt.jpg"
"PXT","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Passenger Car Engine Oils","PXT","","55","L","55 L","","","Viscosity Grade: SAE 20W-50 | Specification: API SL/CF","","PENSOL PXT is a multigrade passenger car engine oil developed for cars & UVs powered by petrol, diesel, CNG or LPG engines. This oil offers high temperature protection that minimises sludge build-up thus reducing component wear.","https://pensol.com/PXT.html","https://pensol.com/img/pxt.jpg"
"PXT","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Passenger Car Engine Oils","PXT","","210","L","210 L","","","Viscosity Grade: SAE 20W-50 | Specification: API SL/CF","","PENSOL PXT is a multigrade passenger car engine oil developed for cars & UVs powered by petrol, diesel, CNG or LPG engines. This oil offers high temperature protection that minimises sludge build-up thus reducing component wear.","https://pensol.com/PXT.html","https://pensol.com/img/pxt.jpg"
"PLATINUM EX PLUS","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Mini CV Engine Oils","PLATINUM EX PLUS","","2.5","L","2.5 L","","","Viscosity Grade: SAE 15W-40 | Specification: API CH-4","","PENSOL PLATINUM EX PLUS is premium diesel engine oil for light and medium duty cargo and passenger vehicles. This oil has high thermal and oxidation stability which helps in achieving longer drain interval and also keeps top-up requirements at a minimum.","https://pensol.com/PLATINUM_EX_PLUS.html","https://pensol.com/img/platinum_ex_plus.jpg"
"PLATINUM EX PLUS","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Mini CV Engine Oils","PLATINUM EX PLUS","","3","L","3 L","","","Viscosity Grade: SAE 15W-40 | Specification: API CH-4","","PENSOL PLATINUM EX PLUS is premium diesel engine oil for light and medium duty cargo and passenger vehicles. This oil has high thermal and oxidation stability which helps in achieving longer drain interval and also keeps top-up requirements at a minimum.","https://pensol.com/PLATINUM_EX_PLUS.html","https://pensol.com/img/platinum_ex_plus.jpg"
"PLATINUM EX PLUS","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Mini CV Engine Oils","PLATINUM EX PLUS","","55","L","55 L","","","Viscosity Grade: SAE 15W-40 | Specification: API CH-4","","PENSOL PLATINUM EX PLUS is premium diesel engine oil for light and medium duty cargo and passenger vehicles. This oil has high thermal and oxidation stability which helps in achieving longer drain interval and also keeps top-up requirements at a minimum.","https://pensol.com/PLATINUM_EX_PLUS.html","https://pensol.com/img/platinum_ex_plus.jpg"
"PLATINUM EX PLUS","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Mini CV Engine Oils","PLATINUM EX PLUS","","210","L","210 L","","","Viscosity Grade: SAE 15W-40 | Specification: API CH-4","","PENSOL PLATINUM EX PLUS is premium diesel engine oil for light and medium duty cargo and passenger vehicles. This oil has high thermal and oxidation stability which helps in achieving longer drain interval and also keeps top-up requirements at a minimum.","https://pensol.com/PLATINUM_EX_PLUS.html","https://pensol.com/img/platinum_ex_plus.jpg"
"PLATINUM EX TURBO","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Mini CV Engine Oils","PLATINUM EX TURBO","","2.5","L","2.5 L","","","Viscosity Grade: SAE 15W-40 | Specification: API CF-4","","PENSOL PLATINUM EX TURBO is high quality diesel engine oil for light and medium duty cargo and passenger vehicles. This oil is specially developed from highly refined base stocks and selected additive package to protect critical engine parts, keeps the engine cool and lower maintenance cost.","https://pensol.com/PLATINUM_EX_TURBO.html","https://pensol.com/img/platinum_ex_turbo.jpg"
"PLATINUM EX TURBO","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Mini CV Engine Oils","PLATINUM EX TURBO","","3","L","3 L","","","Viscosity Grade: SAE 15W-40 | Specification: API CF-4","","PENSOL PLATINUM EX TURBO is high quality diesel engine oil for light and medium duty cargo and passenger vehicles. This oil is specially developed from highly refined base stocks and selected additive package to protect critical engine parts, keeps the engine cool and lower maintenance cost.","https://pensol.com/PLATINUM_EX_TURBO.html","https://pensol.com/img/platinum_ex_turbo.jpg"
"PLATINUM EX TURBO","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Mini CV Engine Oils","PLATINUM EX TURBO","","55","L","55 L","","","Viscosity Grade: SAE 15W-40 | Specification: API CF-4","","PENSOL PLATINUM EX TURBO is high quality diesel engine oil for light and medium duty cargo and passenger vehicles. This oil is specially developed from highly refined base stocks and selected additive package to protect critical engine parts, keeps the engine cool and lower maintenance cost.","https://pensol.com/PLATINUM_EX_TURBO.html","https://pensol.com/img/platinum_ex_turbo.jpg"
"PLATINUM EX TURBO","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Mini CV Engine Oils","PLATINUM EX TURBO","","210","L","210 L","","","Viscosity Grade: SAE 15W-40 | Specification: API CF-4","","PENSOL PLATINUM EX TURBO is high quality diesel engine oil for light and medium duty cargo and passenger vehicles. This oil is specially developed from highly refined base stocks and selected additive package to protect critical engine parts, keeps the engine cool and lower maintenance cost.","https://pensol.com/PLATINUM_EX_TURBO.html","https://pensol.com/img/platinum_ex_turbo.jpg"
"URANUS PLUS","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Diesel Engine Oils","URANUS PLUS","","15","L","15 L","","","Viscosity Grade: SAE 15W-40 | Specification: API CK-4","","PENSOL URANUS PLUS is ultra premium diesel engine oil with synthetic technology, designed to provide performance and protection in modern, emissions treatment equipped Diesel engines, including those with Exhaust Gas Recirculation (EGR), Selective Catalytic Reduction (SCR), Diesel Particulate Filters (DPF) and other modern diesel engine technology.","https://pensol.com/URANUS_PLUS.html","https://pensol.com/img/uranus_plus.jpg"
"URANUS PLUS","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","Diesel Engine Oils","URANUS PLUS","","18","L","18 L","","","Viscosity Grade: SAE 15W-40 | Specification: API CK-4","","PENSOL URANUS PLUS is ultra premium diesel engine oil with synthetic technology, designed to provide performance and protection in modern, emissions treatment equipped Diesel engines, including those with Exhaust Gas Recirculation (EGR), Selective Catalytic Reduction (SCR), Diesel Particulate Filters (DPF) and other modern diesel engine technology.","https://pensol.com/URANUS_PLUS.html","https://pensol.com/img/uranus_plus.jpg"
